
Param lmweight= 1.0 , insertionPenalty=0.0
lmw 1.0 insw 0.0 UTT-1  <s> one </s>	->	 <s> SIX </s>	(-2189.6140041289477)	[2]
lmw 1.0 insw 5.0 UTT-914	<s> zero one zero five zero </s>	->	 <s> FIVE OH </s>	(-5050.88641947323)	[5]
lmw 1.0 insw 5.0 UTT-915	<s> one six </s>	->	 <s> SIX </s>	(-2907.26812995441)	[2]
lmw 1.0 insw 5.0 UTT-916	<s> two eight three two four </s>	->	 <s> OH </s>	(-4441.006722382873)	[6]
lmw 1.0 insw 5.0 UTT-917	<s> three </s>	->	 <s> FIVE </s>	(-1639.5399300987517)	[2]
lmw 1.0 insw 5.0 UTT-918	<s> four </s>	->	 <s> OH </s>	(-1573.2153604915925)	[2]
lmw 1.0 insw 5.0 UTT-919	<s> five oh two oh </s>	->	 <s> OH OH OH </s>	(-3642.2154348719546)	[3]
lmw 1.0 insw 5.0 UTT-920	<s> seven one eight </s>	->	 <s> OH </s>	(-3107.7955999856063)	[4]
lmw 1.0 insw 5.0 UTT-921	<s> eight one nine six </s>	->	 <s> FIVE </s>	(-4438.932239685509)	[5]
lmw 1.0 insw 5.0 UTT-922	<s> nine six one oh </s>	->	 <s> OH SIX </s>	(-3775.3698272228066)	[4]
lmw 1.0 insw 5.0 UTT-923	<s> oh seven nine </s>	->	 <s> OH OH </s>	(-2996.1684198216844)	[3]
lmw 1.0 insw 5.0 UTT-924	<s> zero </s>	->	 <s> OH </s>	(-1939.4425481799697)	[2]
lmw 1.0 insw 5.0 UTT-925	<s> one </s>	->	 <s> SIX </s>	(-1910.1605984564048)	[2]
lmw 1.0 insw 5.0 UTT-926	<s> two </s>	->	 <s> FIVE </s>	(-1493.7993459401082)	[2]
lmw 1.0 insw 5.0 UTT-927	<s> four one zero six </s>	->	 <s> FIVE </s>	(-3981.175921599378)	[5]
lmw 1.0 insw 5.0 UTT-928	<s> five seven four five six </s>	->	 <s> OH </s>	(-4630.735723217349)	[6]
lmw 1.0 insw 5.0 UTT-929	<s> six five five six three two oh </s>	->	 <s> OH FIVE OH SIX OH </s>	(-7232.929075535651)	[5]
lmw 1.0 insw 5.0 UTT-930	<s> seven nine five eight </s>	->	 <s> OH </s>	(-4067.8556350470103)	[5]
lmw 1.0 insw 5.0 UTT-931	<s> eight five </s>	->	 <s> OH </s>	(-2255.2482775416074)	[3]
lmw 1.0 insw 5.0 UTT-932	<s> nine </s>	->	 <s> OH </s>	(-1757.1982307140731)	[2]
lmw 1.0 insw 5.0 UTT-933	<s> oh </s>	->	 <s> OH </s>	(-1928.8770827730493)	[1]
lmw 1.0 insw 5.0 UTT-934	<s> one one four </s>	->	 <s> OH </s>	(-2882.152796100294)	[4]
lmw 1.0 insw 5.0 UTT-935	<s> two five </s>	->	 <s> OH </s>	(-1975.0066480196713)	[3]
lmw 1.0 insw 5.0 UTT-936	<s> three nine two four one </s>	->	 <s> SIX FIVE </s>	(-4211.117001987912)	[6]
lmw 1.0 insw 5.0 UTT-937	<s> four seven </s>	->	 <s> SIX </s>	(-2230.3893671686856)	[3]
lmw 1.0 insw 5.0 UTT-938	<s> five nine zero two </s>	->	 <s> OH OH </s>	(-3706.576933650206)	[5]
lmw 1.0 insw 5.0 UTT-939	<s> six </s>	->	 <s> SIX </s>	(-1875.71519577093)	[1]
lmw 1.0 insw 5.0 UTT-940	<s> seven oh seven seven </s>	->	 <s> SIX </s>	(-3725.8342850007302)	[5]
lmw 1.0 insw 5.0 UTT-941	<s> nine four oh </s>	->	 <s> OH </s>	(-2659.681946142274)	[3]
lmw 1.0 insw 5.0 UTT-942	<s> oh three </s>	->	 <s> OH </s>	(-2411.9929524521062)	[2]
lmw 1.0 insw 5.0 UTT-943	<s> zero four </s>	->	 <s> OH </s>	(-2458.222098087677)	[3]
lmw 1.0 insw 5.0 UTT-944	<s> one eight oh two oh six five </s>	->	 <s> OH OH OH OH </s>	(-5803.189039742002)	[6]
lmw 1.0 insw 5.0 UTT-945	<s> two eight two </s>	->	 <s> SIX </s>	(-2801.7062453726394)	[4]
lmw 1.0 insw 5.0 UTT-946	<s> three </s>	->	 <s> FIVE </s>	(-1933.8171364596758)	[2]
lmw 1.0 insw 5.0 UTT-947	<s> four oh six two nine </s>	->	 <s> OH SIX OH </s>	(-4020.2143951033568)	[4]
lmw 1.0 insw 5.0 UTT-948	<s> six one seven five eight one zero </s>	->	 <s> OH </s>	(-5805.294880789241)	[8]
lmw 1.0 insw 5.0 UTT-949	<s> seven two one nine </s>	->	 <s> OH </s>	(-3546.8246830830026)	[5]
lmw 1.0 insw 5.0 UTT-950	<s> eight seven six four five </s>	->	 <s> SIX OH </s>	(-4884.256241799078)	[5]
lmw 1.0 insw 5.0 UTT-951	<s> nine </s>	->	 <s> OH </s>	(-2112.542019534806)	[2]
lmw 1.0 insw 5.0 UTT-952	<s> oh </s>	->	 <s> OH </s>	(-1628.8179694382948)	[1]
lmw 1.0 insw 5.0 UTT-953	<s> zero zero six two zero </s>	->	 <s> SIX </s>	(-5187.385883667333)	[5]
lmw 1.0 insw 5.0 UTT-954	<s> one zero six one four nine five </s>	->	 <s> OH SIX SIX OH OH OH </s>	(-9068.94149837911)	[7]
lmw 1.0 insw 5.0 UTT-955	<s> three five oh </s>	->	 <s> OH OH </s>	(-3742.048283162956)	[3]
lmw 1.0 insw 5.0 UTT-956	<s> four two oh </s>	->	 <s> OH OH OH </s>	(-4029.473583371007)	[3]
lmw 1.0 insw 5.0 UTT-957	<s> five </s>	->	 <s> OH </s>	(-2221.1187233474557)	[2]
lmw 1.0 insw 5.0 UTT-958	<s> six eight </s>	->	 <s> SIX OH </s>	(-3108.7089861674917)	[2]
lmw 1.0 insw 5.0 UTT-959	<s> seven nine eight five </s>	->	 <s> OH OH OH </s>	(-4721.050807021364)	[5]
lmw 1.0 insw 5.0 UTT-960	<s> eight </s>	->	 <s> FIVE </s>	(-1599.6134473509505)	[2]
lmw 1.0 insw 5.0 UTT-961	<s> nine oh one oh two nine nine </s>	->	 <s> OH OH OH OH </s>	(-7736.462979016836)	[6]
lmw 1.0 insw 5.0 UTT-962	<s> zero one zero five nine </s>	->	 <s> OH OH OH OH </s>	(-7044.787010707086)	[6]
lmw 1.0 insw 5.0 UTT-963	<s> one six zero zero </s>	->	 <s> SIX FIVE </s>	(-3743.6748540235626)	[4]
lmw 1.0 insw 5.0 UTT-964	<s> two six six two zero zero six </s>	->	 <s> SIX </s>	(-6872.947964770419)	[7]
lmw 1.0 insw 5.0 UTT-965	<s> three nine three one zero </s>	->	 <s> FIVE </s>	(-3892.704080974529)	[6]
lmw 1.0 insw 5.0 UTT-966	<s> four </s>	->	 <s> SIX </s>	(-1861.5480743728367)	[2]
lmw 1.0 insw 5.0 UTT-967	<s> five </s>	->	 <s> OH </s>	(-1663.6588287741847)	[2]
lmw 1.0 insw 5.0 UTT-968	<s> six oh seven </s>	->	 <s> FIVE </s>	(-3881.654968228567)	[4]
lmw 1.0 insw 5.0 UTT-969	<s> seven oh nine one four oh three </s>	->	 <s> OH </s>	(-5892.823408128932)	[7]
lmw 1.0 insw 5.0 UTT-970	<s> nine two </s>	->	 <s> OH </s>	(-2206.398581320007)	[3]
lmw 1.0 insw 5.0 UTT-971	<s> oh three six one six </s>	->	 <s> SIX </s>	(-4610.184931850688)	[5]
lmw 1.0 insw 5.0 UTT-972	<s> zero nine zero five four zero three </s>	->	 <s> FIVE </s>	(-5836.139420665886)	[7]
lmw 1.0 insw 5.0 UTT-973	<s> one </s>	->	 <s> OH </s>	(-1896.7487323395255)	[2]
lmw 1.0 insw 5.0 UTT-974	<s> two oh oh </s>	->	 <s> OH </s>	(-2732.8185893143336)	[3]
lmw 1.0 insw 5.0 UTT-975	<s> three zero five </s>	->	 <s> SIX OH </s>	(-3282.421590470358)	[4]
lmw 1.0 insw 5.0 UTT-976	<s> five one nine one five </s>	->	 <s> OH OH </s>	(-4518.047556496568)	[6]
lmw 1.0 insw 5.0 UTT-977	<s> six five seven two </s>	->	 <s> SIX SIX </s>	(-3620.354700918736)	[4]
lmw 1.0 insw 5.0 UTT-978	<s> seven nine oh </s>	->	 <s> OH OH </s>	(-3188.4513320972715)	[3]
lmw 1.0 insw 5.0 UTT-979	<s> eight nine three four three oh oh </s>	->	 <s> OH </s>	(-5709.444315739418)	[7]
lmw 1.0 insw 5.0 UTT-980	<s> nine six oh </s>	->	 <s> SIX OH </s>	(-2815.998256071693)	[2]
lmw 1.0 insw 5.0 UTT-981	<s> oh </s>	->	 <s> OH </s>	(-2119.3719510999395)	[1]
lmw 1.0 insw 5.0 UTT-982	<s> zero zero nine two seven </s>	->	 <s> SIX </s>	(-4840.850105219076)	[6]
lmw 1.0 insw 5.0 UTT-983	<s> two one three zero one zero zero </s>	->	 <s> OH OH FIVE </s>	(-6723.190007468034)	[8]
lmw 1.0 insw 5.0 UTT-984	<s> three three six oh one nine eight </s>	->	 <s> OH </s>	(-5498.747232328298)	[7]
lmw 1.0 insw 5.0 UTT-985	<s> four four </s>	->	 <s> SIX </s>	(-2592.4425978416457)	[3]
lmw 1.0 insw 5.0 UTT-986	<s> five seven zero </s>	->	 <s> OH FIVE </s>	(-3452.4737514903513)	[4]
lmw 1.0 insw 5.0 UTT-987	<s> six </s>	->	 <s> SIX </s>	(-2113.8972445927598)	[1]
lmw 1.0 insw 5.0 UTT-988	<s> seven </s>	->	 <s> OH </s>	(-2125.956066992203)	[2]
lmw 1.0 insw 5.0 UTT-989	<s> eight oh </s>	->	 <s> OH </s>	(-2436.096096371788)	[2]
lmw 1.0 insw 5.0 UTT-990	<s> oh three seven eight </s>	->	 <s> SIX </s>	(-3422.635438520553)	[5]
lmw 1.0 insw 5.0 UTT-991	<s> zero four eight five </s>	->	 <s> SIX SIX OH </s>	(-4431.983507790291)	[5]
lmw 1.0 insw 5.0 UTT-992	<s> one four eight three </s>	->	 <s> OH </s>	(-4102.877940543424)	[5]
lmw 1.0 insw 5.0 UTT-993	<s> two </s>	->	 <s> SIX </s>	(-1827.0641825049713)	[2]
lmw 1.0 insw 5.0 UTT-994	<s> three </s>	->	 <s> OH </s>	(-1957.557038670155)	[2]
lmw 1.0 insw 5.0 UTT-995	<s> four </s>	->	 <s> SIX </s>	(-1881.3235008096622)	[2]
lmw 1.0 insw 5.0 UTT-996	<s> five </s>	->	 <s> OH </s>	(-1985.1578206075121)	[2]
lmw 1.0 insw 5.0 UTT-997	<s> seven one </s>	->	 <s> OH </s>	(-2775.087334236894)	[3]
lmw 1.0 insw 5.0 UTT-998	<s> eight five </s>	->	 <s> OH </s>	(-2699.5567896795096)	[3]
lmw 1.0 insw 5.0 UTT-999	<s> nine eight four one five </s>	->	 <s> OH FIVE OH </s>	(-4240.155271015144)	[6]
lmw 1.0 insw 5.0 UTT-1000	<s> oh eight six one nine oh nine </s>	->	 <s> SIX SIX OH OH </s>	(-5865.570890275032)	[6]
WER:	0.7302131for Param lmweight= 1.0 , insertionPenalty=5.0

Param lmweight= 1.0 , insertionPenalty=10.0
lmw 1.0 insw 10.0 UTT-1	<s> one </s>	->	 <s> SIX </s>	(-2209.6140041289477)	[2]
lmw 1.0 insw 10.0 UTT-2	<s> two </s>	->	 <s> SIX </s>	(-2127.0841643494537)	[2]
lmw 1.0 insw 10.0 UTT-3	<s> three zero eight two </s>	->	 <s> SIX OH </s>	(-3743.0027713237246)	[5]
lmw 1.0 insw 10.0 UTT-4	<s> five two one zero nine </s>	->	 <s> SIX SIX </s>	(-5797.164414918676)	[6]
lmw 1.0 insw 10.0 UTT-5	<s> six three </s>	->	 <s> SIX SIX </s>	(-2760.0519735474886)	[2]
lmw 1.0 insw 10.0 UTT-6	<s> seven five </s>	->	 <s> OH </s>	(-3135.7485300191524)	[3]
lmw 1.0 insw 10.0 UTT-7	<s> eight six zero one one six two </s>	->	 <s> OH SIX </s>	(-6703.446324934981)	[7]
lmw 1.0 insw 10.0 UTT-8	<s> nine </s>	->	 <s> OH SIX </s>	(-2101.628584334817)	[3]
lmw 1.0 insw 10.0 UTT-9	<s> oh oh two one six four one </s>	->	 <s> SIX SIX </s>	(-6607.747409045789)	[7]
lmw 1.0 insw 10.0 UTT-10	<s> zero zero seven zero four </s>	->	 <s> SIX </s>	(-5950.683272373458)	[6]
lmw 1.0 insw 10.0 UTT-11	<s> two one four eight </s>	->	 <s> SIX </s>	(-3474.9569263339577)	[5]
lmw 1.0 insw 10.0 UTT-12	<s> three eight eight </s>	->	 <s> OH </s>	(-2772.4682079113823)	[4]
lmw 1.0 insw 10.0 UTT-13	<s> four three oh six five seven one </s>	->	 <s> SIX </s>	(-5955.111505699651)	[7]
lmw 1.0 insw 10.0 UTT-14	<s> five five two seven </s>	->	 <s> SIX </s>	(-3514.4290560172544)	[5]
lmw 1.0 insw 10.0 UTT-15	<s> six </s>	->	 <s> SIX </s>	(-2002.0343836211723)	[1]
lmw 1.0 insw 10.0 UTT-16	<s> seven </s>	->	 <s> SIX </s>	(-1926.2376424657741)	[2]
lmw 1.0 insw 10.0 UTT-17	<s> eight </s>	->	 <s> OH </s>	(-1667.6532544958247)	[2]
lmw 1.0 insw 10.0 UTT-18	<s> oh three oh </s>	->	 <s> OH </s>	(-3099.1103023167343)	[3]
lmw 1.0 insw 10.0 UTT-19	<s> zero two </s>	->	 <s> SIX SIX </s>	(-2587.51977812013)	[3]
lmw 1.0 insw 10.0 UTT-20	<s> one five one eight </s>	->	 <s> SIX </s>	(-3658.9720522526027)	[5]
lmw 1.0 insw 10.0 UTT-21	<s> two seven oh </s>	->	 <s> OH </s>	(-2815.562910332303)	[3]
lmw 1.0 insw 10.0 UTT-22	<s> three six seven </s>	->	 <s> SIX </s>	(-3777.284559426977)	[3]
lmw 1.0 insw 10.0 UTT-23	<s> four </s>	->	 <s> SIX </s>	(-1995.5109634380888)	[2]
lmw 1.0 insw 10.0 UTT-24	<s> five </s>	->	 <s> OH </s>	(-2367.6465474272622)	[2]
lmw 1.0 insw 10.0 UTT-25	<s> seven one nine zero </s>	->	 <s> SIX </s>	(-5628.987268293425)	[5]
lmw 1.0 insw 10.0 UTT-26	<s> eight five </s>	->	 <s> OH </s>	(-2782.4704815554655)	[3]
lmw 1.0 insw 10.0 UTT-27	<s> nine eight zero seven four three seven </s>	->	 <s> SIX SIX </s>	(-6624.321837992736)	[8]
lmw 1.0 insw 10.0 UTT-28	<s> oh </s>	->	 <s> OH </s>	(-1622.468482175765)	[1]
lmw 1.0 insw 10.0 UTT-29	<s> zero nine nine five </s>	->	 <s> SIX OH </s>	(-4403.329612888163)	[5]
lmw 1.0 insw 10.0 UTT-30	<s> one </s>	->	 <s> FIVE </s>	(-2323.9898226265886)	[2]
lmw 1.0 insw 10.0 UTT-31	<s> two </s>	->	 <s> OH </s>	(-1691.209720120469)	[2]
lmw 1.0 insw 10.0 UTT-32	<s> four one three </s>	->	 <s> OH </s>	(-2974.496216300577)	[4]
lmw 1.0 insw 10.0 UTT-33	<s> five five six eight </s>	->	 <s> SIX </s>	(-3769.5538224344514)	[4]
lmw 1.0 insw 10.0 UTT-34	<s> six eight eight </s>	->	 <s> SIX </s>	(-3123.28006580914)	[3]
lmw 1.0 insw 10.0 UTT-35	<s> seven eight eight six </s>	->	 <s> SIX SIX </s>	(-4348.569193565354)	[4]
lmw 1.0 insw 10.0 UTT-36	<s> eight </s>	->	 <s> SIX </s>	(-1775.4504629531582)	[2]
lmw 1.0 insw 10.0 UTT-37	<s> nine zero eight </s>	->	 <s> SIX </s>	(-3424.4171892656236)	[4]
lmw 1.0 insw 10.0 UTT-38	<s> oh </s>	->	 <s> OH </s>	(-1635.2017127407346)	[1]
lmw 1.0 insw 10.0 UTT-39	<s> one three five </s>	->	 <s> OH </s>	(-3077.002828000955)	[4]
lmw 1.0 insw 10.0 UTT-40	<s> two two nine </s>	->	 <s> OH </s>	(-2324.447679721934)	[4]
lmw 1.0 insw 10.0 UTT-41	<s> three nine </s>	->	 <s> SIX </s>	(-2085.713445290896)	[3]
lmw 1.0 insw 10.0 UTT-42	<s> four seven one eight </s>	->	 <s> OH SIX </s>	(-3737.7902091554724)	[5]
lmw 1.0 insw 10.0 UTT-43	<s> five </s>	->	 <s> OH </s>	(-1636.453006904581)	[2]
lmw 1.0 insw 10.0 UTT-44	<s> six </s>	->	 <s> SIX </s>	(-1644.8682152244369)	[1]
lmw 1.0 insw 10.0 UTT-45	<s> seven zero four six nine eight nine </s>	->	 <s> OH </s>	(-5838.246505343558)	[8]
lmw 1.0 insw 10.0 UTT-46	<s> nine two three </s>	->	 <s> OH </s>	(-2598.040903483338)	[4]
lmw 1.0 insw 10.0 UTT-47	<s> oh six five </s>	->	 <s> OH </s>	(-3116.072193544153)	[3]
lmw 1.0 insw 10.0 UTT-48	<s> zero four four three six five nine </s>	->	 <s> SIX OH </s>	(-6373.106424736955)	[7]
lmw 1.0 insw 10.0 UTT-49	<s> one nine five </s>	->	 <s> OH </s>	(-3182.76497147035)	[4]
lmw 1.0 insw 10.0 UTT-50	<s> two </s>	->	 <s> OH </s>	(-2051.2713890178893)	[2]
lmw 1.0 insw 10.0 UTT-51	<s> three </s>	->	 <s> OH </s>	(-2004.5628508758832)	[2]
lmw 1.0 insw 10.0 UTT-52	<s> four oh </s>	->	 <s> SIX </s>	(-2501.629906702013)	[3]
lmw 1.0 insw 10.0 UTT-53	<s> six five two six </s>	->	 <s> SIX </s>	(-4103.968895131422)	[4]
lmw 1.0 insw 10.0 UTT-54	<s> seven four </s>	->	 <s> FIVE </s>	(-2949.4928731400196)	[3]
lmw 1.0 insw 10.0 UTT-55	<s> eight five four </s>	->	 <s> FIVE </s>	(-3049.622259584757)	[3]
lmw 1.0 insw 10.0 UTT-56	<s> nine </s>	->	 <s> OH </s>	(-2063.0605377785523)	[2]
lmw 1.0 insw 10.0 UTT-57	<s> oh </s>	->	 <s> OH </s>	(-1765.0222592156433)	[1]
lmw 1.0 insw 10.0 UTT-58	<s> zero </s>	->	 <s> OH </s>	(-2210.5927898917157)	[2]
lmw 1.0 insw 10.0 UTT-59	<s> one zero eight eight five </s>	->	 <s> SIX OH </s>	(-5606.958376835483)	[6]
lmw 1.0 insw 10.0 UTT-60	<s> three three seven one </s>	->	 <s> SIX OH SIX </s>	(-4947.267396663468)	[5]
lmw 1.0 insw 10.0 UTT-61	<s> four five </s>	->	 <s> SIX OH </s>	(-3743.0960649137764)	[3]
lmw 1.0 insw 10.0 UTT-62	<s> five five five zero nine seven one </s>	->	 <s> SIX </s>	(-8438.514888554655)	[8]
lmw 1.0 insw 10.0 UTT-63	<s> six nine one four oh </s>	->	 <s> SIX SIX OH </s>	(-5931.452120275738)	[4]
lmw 1.0 insw 10.0 UTT-64	<s> seven </s>	->	 <s> SIX </s>	(-2427.3989636171755)	[2]
lmw 1.0 insw 10.0 UTT-65	<s> eight </s>	->	 <s> OH </s>	(-2339.1308052287927)	[2]
lmw 1.0 insw 10.0 UTT-66	<s> nine oh four five three five eight </s>	->	 <s> OH OH FIVE OH </s>	(-9058.616425042726)	[6]
lmw 1.0 insw 10.0 UTT-67	<s> zero two one five nine </s>	->	 <s> OH SIX </s>	(-5840.39020415046)	[6]
lmw 1.0 insw 10.0 UTT-68	<s> one three </s>	->	 <s> SIX </s>	(-2545.891042841986)	[3]
lmw 1.0 insw 10.0 UTT-69	<s> two eight zero five </s>	->	 <s> SIX OH </s>	(-4207.841260652865)	[5]
lmw 1.0 insw 10.0 UTT-70	<s> three five five three six </s>	->	 <s> SIX </s>	(-4567.069403626753)	[5]
lmw 1.0 insw 10.0 UTT-71	<s> four five six four four </s>	->	 <s> OH OH </s>	(-4820.542583421515)	[6]
lmw 1.0 insw 10.0 UTT-72	<s> five </s>	->	 <s> OH </s>	(-1752.2580312949242)	[2]
lmw 1.0 insw 10.0 UTT-73	<s> six oh six oh two </s>	->	 <s> OH </s>	(-4408.320638532841)	[5]
lmw 1.0 insw 10.0 UTT-74	<s> eight one two oh eight five nine </s>	->	 <s> SIX OH </s>	(-6174.745747698615)	[7]
lmw 1.0 insw 10.0 UTT-75	<s> nine three five oh three two four </s>	->	 <s> OH OH </s>	(-6743.127592591931)	[7]
lmw 1.0 insw 10.0 UTT-76	<s> oh </s>	->	 <s> OH </s>	(-1705.5111881173127)	[1]
lmw 1.0 insw 10.0 UTT-77	<s> zero </s>	->	 <s> OH </s>	(-2447.51144067238)	[2]
lmw 1.0 insw 10.0 UTT-78	<s> one </s>	->	 <s> SIX </s>	(-2073.246397017753)	[2]
lmw 1.0 insw 10.0 UTT-79	<s> two oh six two </s>	->	 <s> SIX </s>	(-3159.8242266609477)	[4]
lmw 1.0 insw 10.0 UTT-80	<s> three </s>	->	 <s> SIX </s>	(-1535.8412256070703)	[2]
lmw 1.0 insw 10.0 UTT-81	<s> five five two zero </s>	->	 <s> FIVE </s>	(-3206.936572925938)	[4]
lmw 1.0 insw 10.0 UTT-82	<s> six seven oh oh </s>	->	 <s> OH </s>	(-3718.940796812927)	[4]
lmw 1.0 insw 10.0 UTT-83	<s> seven six </s>	->	 <s> SIX </s>	(-2856.5283790381286)	[2]
lmw 1.0 insw 10.0 UTT-84	<s> eight nine eight </s>	->	 <s> OH </s>	(-3261.9893325625885)	[4]
lmw 1.0 insw 10.0 UTT-85	<s> nine </s>	->	 <s> SIX </s>	(-1955.5001258285256)	[2]
lmw 1.0 insw 10.0 UTT-86	<s> oh </s>	->	 <s> OH </s>	(-1670.7309684433435)	[1]
lmw 1.0 insw 10.0 UTT-87	<s> zero </s>	->	 <s> SIX </s>	(-1779.757494440075)	[2]
lmw 1.0 insw 10.0 UTT-88	<s> two two eight two oh </s>	->	 <s> SIX SIX OH </s>	(-5702.606048888185)	[5]
lmw 1.0 insw 10.0 UTT-89	<s> three four eight </s>	->	 <s> SIX </s>	(-3582.3244066625675)	[4]
lmw 1.0 insw 10.0 UTT-90	<s> four seven zero </s>	->	 <s> SIX </s>	(-4140.645430225925)	[4]
lmw 1.0 insw 10.0 UTT-91	<s> five seven three five three seven nine </s>	->	 <s> SIX </s>	(-7088.330595622652)	[8]
lmw 1.0 insw 10.0 UTT-92	<s> six nine </s>	->	 <s> SIX SIX </s>	(-3625.25063047637)	[2]
lmw 1.0 insw 10.0 UTT-93	<s> seven </s>	->	 <s> SIX </s>	(-2058.107438970339)	[2]
lmw 1.0 insw 10.0 UTT-94	<s> eight zero </s>	->	 <s> OH </s>	(-3023.462354378772)	[3]
lmw 1.0 insw 10.0 UTT-95	<s> oh two seven four oh </s>	->	 <s> OH OH </s>	(-6017.791903083629)	[4]
lmw 1.0 insw 10.0 UTT-96	<s> zero two three one nine zero nine </s>	->	 <s> SIX </s>	(-7202.710136723781)	[8]
lmw 1.0 insw 10.0 UTT-97	<s> one three oh two eight nine oh </s>	->	 <s> OH SIX </s>	(-6220.4477360415995)	[7]
lmw 1.0 insw 10.0 UTT-98	<s> two eight </s>	->	 <s> SIX </s>	(-2698.3087933549436)	[3]
lmw 1.0 insw 10.0 UTT-99	<s> three five </s>	->	 <s> SIX </s>	(-2257.386519081308)	[3]
lmw 1.0 insw 10.0 UTT-100	<s> four </s>	->	 <s> OH </s>	(-1474.420277915019)	[2]
lmw 1.0 insw 10.0 UTT-101	<s> five </s>	->	 <s> OH </s>	(-1664.783646846228)	[2]
lmw 1.0 insw 10.0 UTT-102	<s> seven one one </s>	->	 <s> SIX </s>	(-3472.8806304096483)	[4]
lmw 1.0 insw 10.0 UTT-103	<s> eight five oh one six four six </s>	->	 <s> OH </s>	(-6372.466802214409)	[7]
lmw 1.0 insw 10.0 UTT-104	<s> nine eight seven zero </s>	->	 <s> OH </s>	(-4029.52380026735)	[5]
lmw 1.0 insw 10.0 UTT-105	<s> oh </s>	->	 <s> SIX </s>	(-1636.4508840143812)	[2]
lmw 1.0 insw 10.0 UTT-106	<s> zero </s>	->	 <s> SIX </s>	(-2063.86276166108)	[2]
lmw 1.0 insw 10.0 UTT-107	<s> one </s>	->	 <s> SIX </s>	(-1721.2291635656527)	[2]
lmw 1.0 insw 10.0 UTT-108	<s> two </s>	->	 <s> OH </s>	(-1867.4137543963493)	[2]
lmw 1.0 insw 10.0 UTT-109	<s> four one oh four oh </s>	->	 <s> SIX SIX SIX </s>	(-6500.516020283627)	[6]
lmw 1.0 insw 10.0 UTT-110	<s> five three four nine nine six oh </s>	->	 <s> SIX SIX OH </s>	(-6543.269895120177)	[6]
lmw 1.0 insw 10.0 UTT-111	<s> six eight six seven </s>	->	 <s> OH SIX </s>	(-3922.253223302027)	[4]
lmw 1.0 insw 10.0 UTT-112	<s> seven nine three six five nine six </s>	->	 <s> SIX SIX SIX </s>	(-7383.29297900625)	[6]
lmw 1.0 insw 10.0 UTT-113	<s> eight eight zero five five </s>	->	 <s> OH SIX </s>	(-5418.733884782903)	[6]
lmw 1.0 insw 10.0 UTT-114	<s> nine </s>	->	 <s> SIX </s>	(-1748.3159388121016)	[2]
lmw 1.0 insw 10.0 UTT-115	<s> oh oh oh nine nine eight nine </s>	->	 <s> SIX </s>	(-6383.475544329315)	[8]
lmw 1.0 insw 10.0 UTT-116	<s> one one five </s>	->	 <s> OH </s>	(-2900.8628918107997)	[4]
lmw 1.0 insw 10.0 UTT-117	<s> two two </s>	->	 <s> SIX </s>	(-2562.192546573582)	[3]
lmw 1.0 insw 10.0 UTT-118	<s> three five oh two </s>	->	 <s> SIX </s>	(-3373.0952058970743)	[5]
lmw 1.0 insw 10.0 UTT-119	<s> four </s>	->	 <s> SIX </s>	(-1789.279220688175)	[2]
lmw 1.0 insw 10.0 UTT-120	<s> five </s>	->	 <s> OH </s>	(-1684.6486300003598)	[2]
lmw 1.0 insw 10.0 UTT-121	<s> six </s>	->	 <s> SIX </s>	(-1869.7021906598072)	[1]
lmw 1.0 insw 10.0 UTT-122	<s> seven </s>	->	 <s> SIX </s>	(-2141.996890971301)	[2]
lmw 1.0 insw 10.0 UTT-123	<s> nine six one eight two three seven </s>	->	 <s> SIX SIX OH </s>	(-6350.307277900983)	[7]
lmw 1.0 insw 10.0 UTT-124	<s> oh three five seven four five one </s>	->	 <s> SIX SIX </s>	(-6205.99242398248)	[8]
lmw 1.0 insw 10.0 UTT-125	<s> zero eight three nine two nine three </s>	->	 <s> SIX </s>	(-6428.224803060844)	[8]
lmw 1.0 insw 10.0 UTT-126	<s> one </s>	->	 <s> SIX </s>	(-1699.4757257856002)	[2]
lmw 1.0 insw 10.0 UTT-127	<s> two </s>	->	 <s> SIX </s>	(-2221.2774070350765)	[2]
lmw 1.0 insw 10.0 UTT-128	<s> three </s>	->	 <s> OH </s>	(-2276.024834054055)	[2]
lmw 1.0 insw 10.0 UTT-129	<s> four </s>	->	 <s> OH </s>	(-2142.5084030642156)	[2]
lmw 1.0 insw 10.0 UTT-130	<s> six one </s>	->	 <s> OH </s>	(-2883.3312390064793)	[3]
lmw 1.0 insw 10.0 UTT-131	<s> seven three seven </s>	->	 <s> OH </s>	(-3819.457563837291)	[4]
lmw 1.0 insw 10.0 UTT-132	<s> eight seven </s>	->	 <s> SIX </s>	(-2941.99361566345)	[3]
lmw 1.0 insw 10.0 UTT-133	<s> nine nine </s>	->	 <s> SIX </s>	(-3207.2275829811797)	[3]
lmw 1.0 insw 10.0 UTT-134	<s> oh </s>	->	 <s> OH </s>	(-2130.1252172472205)	[1]
lmw 1.0 insw 10.0 UTT-135	<s> zero </s>	->	 <s> SIX </s>	(-2534.828963647274)	[2]
lmw 1.0 insw 10.0 UTT-136	<s> one oh five oh oh four five </s>	->	 <s> OH OH OH OH </s>	(-6164.748651163358)	[5]
lmw 1.0 insw 10.0 UTT-137	<s> three two five </s>	->	 <s> OH </s>	(-3723.2972869104224)	[4]
